Name,Awards,Year,Region
"Cheshmi, Kazem",ACM-IEEE CS George Michael Memorial HPC Fellowships,2020,Middle East
"Chong, Lillian",ACM Gordon Bell Prize,2020,North America
"Corrigan-Gibbs, Henry",ACM Doctoral Dissertation Award,2020,North America
"Dommer, Abigail C.",ACM Gordon Bell Prize,2020,North America
"E, Weinan",ACM Gordon Bell Prize,2020,North America
"Emani, Kameswara Venkatesh",ACM India Doctoral Dissertation Award,2020,Asia
"Fan, Chuchu",ACM Doctoral Dissertation Award,2020,Asia
"Franz, Michael","ACM Charles P. ""Chuck"" Thacker Breakthrough in Computing Award",2020,North America
"Gibbs, Tom",ACM Gordon Bell Prize,2020,North America
"Gollakota, Shyamnath",ACM Grace Murray Hopper Award,2020,North America
"Hankin, Chris L.",Outstanding Contribution to ACM Award,2020,Europe
"Hardy, David J",ACM Gordon Bell Prize,2020,North America
"Iyer, Sridhar",ACM India Outstanding Contribution to Computing Education Award,2020,Asia
"Jha, Shantenu",ACM Gordon Bell Prize,2020,North America
"Jia, Weile",ACM Gordon Bell Prize,2020,North America
"Jung, Ralf",ACM Doctoral Dissertation Award,2020,Europe
"Karlin, Anna",ACM Paris Kanellakis Theory and Practice Award,2020,North America
"Korish, Maurice",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America
"Kraus, Sarit",ACM Athena Lecturer Award,2020,Europe
"Kurth, Thorsten",ACM Gordon Bell Prize,2020,North America
"Levesque, Hector J.",ACM AAAI Allen Newell Award,2020,North America
"Lin, Lin",ACM Gordon Bell Prize,2020,North America
"Lu, Denghui",ACM Gordon Bell Prize,2020,Asia
"Maia, Julio",ACM Gordon Bell Prize,2020,North America
"McGettrick, Andrew",ACM Karl V. Karlstrom Outstanding Educator Award,2020,Europe
"Minnick, Brian",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America
"Mitzenmacher, Michael",ACM Paris Kanellakis Theory and Practice Award,2020,North America
"Olson, Michael",ACM Software System Award,2020,North America
"Phillips, James",ACM Gordon Bell Prize,2020,North America
"Ramanathan, Arvind",ACM Gordon Bell Prize,2020,North America
"Rotenberg, Marc",ACM Policy Award,2020,North America
"Sarkar, Vivek",ACM-IEEE CS Ken Kennedy Award,2020,North America
"Saurabh, Saket",ACM India Early Career Researcher Award,2020,Asia
"Seltzer, Margo",ACM Software System Award,2020,North America
"Stone, John",ACM Gordon Bell Prize,2020,North America
"Ullman, Jeffrey D",ACM A. M. Turing Award,2020,North America
"Upfal, Eli",ACM Paris Kanellakis Theory and Practice Award,2020,North America
"Vardhan, Madhurima",ACM-IEEE CS George Michael Memorial HPC Fellowships,2020,Asia
"Vardi, Moshe Y",ACM AAAI Allen Newell Award,2020,North America
"Wang, Han",ACM Gordon Bell Prize,2020,Asia
"Yatani, Koji",IPSJ/ACM Award for Early Career Contributions to Global Research,2020,Asia
"Yuan, Emily",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America
"Zhang, Linfeng",ACM Gordon Bell Prize,2020,North America
"Zhou, Keren",ACM-IEEE CS George Michael Memorial HPC Fellowships,2020,Asia
"Zhou, Zhi-Hua",CCF-ACM Award for Artificial Intelligence,2020,Asia
"Alon, Noga",ACM Paris Kanellakis Theory and Practice Award,2019,Europe
"Balcan, Maria-Florina",ACM Grace Murray Hopper Award,2019,North America
"Ben-Ari, Mordechai",ACM Karl V. Karlstrom Outstanding Educator Award,2019,Europe
